Denise;Albe-Fessard;1916-2003;Neurophysiologiste
Yvette;Amice;1936-1993;Mathématicienne
Jeanne;Baret;1740-1807;Botaniste, exploratrice
Denise;Barthomeuf;1934-2004;Chimiste des matériaux
Madeleine;Brès;1842-1921;Médecin
Simonne;Caillère;1905-1999;Géologue, minéralogiste
Yvette;Cauchois;1908-1999;Physico-chimiste
Edmée;Chandon;1885-1944;Astronome
Yvonne;Choquet-Bruhat;1923-2025;Physicienne, mathématicienne
Marthe;Condat;1886-1939;Médecin
Anita;Conti;1899-1997;Océanographe
Eugénie;Cotton;1881-1967;Physicienne
Radhia;Cousot;1947-2014;Informaticienne
Odile;Croissant;1923-2020;Physicienne, biologiste
Marie;Curie;1867-1934;Physicienne
Augusta;Dejerine-Klumpke;1859-1927;Médecin neurologue
Henriette;Delamarre de Monchaux;1854-1911;Géologue, paléontologue
Georgette;Délibrias;1924-2015;Physicienne
Nathalie;Demassieux;1884-1961;Chimiste
Rose;Dieng;1956-2008;Informaticienne
Angélique;du Coudray;1712-1794;Obstétricienne
Louise;du Pierry;1746-1830;Astronome
Marie-Louise;Dubreil-Jacotin;1905-1972;Mathématicienne
Jacqueline;Ferrand;1918-2014;Mathématicienne
Jacqueline;Ficini;1923-1988;Chimiste
Rosalind;Franklin;1920-1958;Physico-chimiste
Marthe;Gautier;1925-2022;Médecin biologiste
Sophie;Germain;1776-1831;Mathématicienne
Marianne;Grunberg-Manago;1921-2013;Biochimiste
Jeanne;Guiot;1889-1963;Ingénieure
Geneviève;Guitel;1895-1982;Mathématicienne
Sébastienne;Guyot;1896-1941;Ingénieure aéronautique
Claudine;Hermann;1945-2021;Physicienne
Andrée;Hoppilliard;1909-1995;Ingénieure aéronautique
Irène;Joliot-Curie;1897-1956;Chimiste
Geneviève;Jourdain;1946-2007;Ingénieure informaticienne
Dorothea;Klumpke;1861-1942;Astronome
Lydie;Koch;1931-2023;Physicienne
Colette;Kréder;1934-2022;Ingénieure
Nicole;Laroche;1945-2019;Ingénieure arts et métiers
Cornélie;Lebon-de Brambilla;1767-1812;Ingénieure
Yolande;Le Calvez;1910-2002;Géologue, paléontologue
Paulette;Libermann;1919-2007;Mathématicienne
Nicole;Mangin;1878-1919;Médecin
Henriette;Mathieu-Faraggi;1915-1985;Physicienne
Cécile;Morette;1922-2017;Physicienne
Edith;Mourier;1920-2017;Mathématicienne
Ethel;Moustacchi;1933-2016;Biochimiste
Suzanne;Noël;1878-1954;Chirurgienne
Yvonne;Odic;1890-1982;Ingénieure mécanicienne
Isabelle;Olivieri;1957-2016;Ingénieure agronome, biologiste
Marie-Louise;Paris;1889-1969;Ingénieure
Marguerite;Perey;1909-1975;Radiochimiste
Claudine;Picardet;1735-1820;Chimiste
Alberte;Pullman;1920-2011;Chimiste
Pauline;Ramart;1880-1953;Chimiste
Lucie;Randoin;1885-1960;Chimiste nutritionniste
Alice;Recoque;1929-2021;Ingénieure informaticienne
Michelle;Schatzman;1949-2010;Mathématicienne
Anne-Marcelle;Schrameck;1896-1965;Ingénieure chimiste
Marie-Hélène;Schwartz;1913-2013;Mathématicienne
Josiane;Serre;1922-2004;Chimiste
Alice;Sollier;1861-1942;Médecin psychiatre
Hélène;Sparrow;1891-1970;Biologiste, médecin
Bianca;Tchoubar;1910-1990;Chimiste
Marie-Antoinette;Tonnelat;1912-1980;Physicienne théoricienne
Thérèse;Tréfouël;1892-1978;Chimiste
Agnès;Ullmann;1927-2019;Biologiste moléculaire
Arlette;Vassy;1913-2000;Physicienne de l’atmosphère
Suzanne;Veil;1886-1956;Ingénieure chimiste
Jeanne;Villepreux-Power;1794-1871;Naturaliste
Toshiko;Yuasa;1909-1980;Physicienne théoricienne
